===SelfControl-Killer Log File===

SelfControl Version: 3.0.3
System Version: Mac OS X Version 10.15.6 (Build 19G73)Launchd daemons loaded:

PID	Status	Label
block return out proto udp from any to 98.137.11.163
block return out proto tcp from any to 74.6.143.25
block return out proto udp from any to 74.6.143.25
block return out proto tcp from any to 74.6.143.26
block return out proto udp from any to 74.6.143.26
block return out proto tcp from any to 74.6.231.21
block return out proto udp from any to 74.6.231.21
block return out proto tcp from any to 2406:da00:ff00::3dc:535d
block return out proto udp from any to 2406:da00:ff00::3dc:535d
block return out proto tcp from any to 2406:da00:ff00::22e4:ac13
block return out proto udp from any to 2406:da00:ff00::22e4:ac13
block return out proto tcp from any to 2406:da00:ff00::22e8:25e0
block return out proto udp from any to 2406:da00:ff00::22e8:25e0
block return out proto tcp from any to 2406:da00:ff00::3dc:4c73
block return out proto udp from any to 2406:da00:ff00::3dc:4c73
block return out proto tcp from any to 2406:da00:ff00::35c:27f5
block return out proto udp from any to 2406:da00:ff00::35c:27f5
block return out proto tcp from any to 2406:da00:ff00::36cc:7334
block return out proto udp from any to 2406:da00:ff00::36cc:7334
block return out proto tcp from any to 2406:da00:ff00::3404:8691
block return out proto udp from any to 2406:da00:ff00::3404:8691
block return out proto tcp from any to 2406:da00:ff00::22ce:21ca
block return out proto udp from any to 2406:da00:ff00::22ce:21ca
block return out proto tcp from any to 52.1.230.205
block return out proto udp from any to 52.1.230.205
block return out proto tcp from any to 52.3.18.154
block return out proto udp from any to 52.3.18.154
block return out proto tcp from any to 3.224.59.74
block return out proto udp from any to 3.224.59.74
block return out proto tcp from any to 52.0.103.197
block return out proto udp from any to 52.0.103.197
block return out proto tcp from any to 52.5.39.111
block return out proto udp from any to 52.5.39.111
block return out proto tcp from any to 34.226.75.20
block return out proto udp from any to 34.226.75.20
block return out proto tcp from any to 3.225.55.231
block return out proto udp from any to 3.225.55.231
block return out proto tcp from any to 52.2.164.38
block return out proto udp from any to 52.2.164.38
block return out proto tcp from any to 54.204.5.8
block return out proto udp from any to 54.204.5.8
block return out proto tcp from any to 34.232.236.5
block return out proto udp from any to 34.232.236.5
block return out proto tcp from any to 34.237.36.29
block return out proto udp from any to 34.237.36.29
block return out proto tcp from any to 52.204.43.105
block return out proto udp from any to 52.204.43.105
block return out proto tcp from any to 34.194.85.163
block return out proto udp from any to 34.194.85.163
block return out proto tcp from any to 34.192.36.169
block return out proto udp from any to 34.192.36.169
block return out proto tcp from any to 34.193.130.150
block return out proto udp from any to 34.193.130.150
block return out proto tcp from any to 34.192.252.133
block return out proto udp from any to 34.192.252.133
block return out proto tcp from any to 54.88.111.196
block return out proto udp from any to 54.88.111.196
block return out proto tcp from any to 13.249.43.89
block return out proto udp from any to 13.249.43.89
block return out proto tcp from any to 13.249.43.122
block return out proto udp from any to 13.249.43.122
block return out proto tcp from any to 13.249.43.87
block return out proto udp from any to 13.249.43.87
block return out proto tcp from any to 13.249.43.124
block return out proto udp from any to 13.249.43.124
block return out proto tcp from any to 18.219.105.141
block return out proto udp from any to 18.219.105.141
block return out proto tcp from any to 18.191.54.162
block return out proto udp from any to 18.191.54.162
block return out proto tcp from any to 18.210.212.54
block return out proto udp from any to 18.210.212.54
block return out proto tcp from any to 18.211.55.24
block return out proto udp from any to 18.211.55.24
block return out proto tcp from any to 51.81.245.20
block return out proto udp from any to 51.81.245.20
block return out proto tcp from any to 51.81.245.33
block return out proto udp from any to 51.81.245.33
block return out proto tcp from any to 50.7.252.50
block return out proto udp from any to 50.7.252.50
block return out proto tcp from any to 51.81.245.19
block return out proto udp from any to 51.81.245.19
block return out proto tcp from any to 51.81.245.30
block return out proto udp from any to 51.81.245.30
block return out proto tcp from any to 50.7.252.90
block return out proto udp from any to 50.7.252.90
block return out proto tcp from any to 51.81.245.18
block return out proto udp from any to 51.81.245.18
block return out proto tcp from any to 147.135.70.207
block return out proto udp from any to 147.135.70.207
block return out proto tcp from any to 51.81.245.35
block return out proto udp from any to 51.81.245.35
block return out proto tcp from any to 51.81.245.21
block return out proto udp from any to 51.81.245.21
block return out proto tcp from any to 147.135.70.158
block return out proto udp from any to 147.135.70.158
block return out proto tcp from any to 147.135.70.161
block return out proto udp from any to 147.135.70.161
block return out proto tcp from any to 51.81.245.16
block return out proto udp from any to 51.81.245.16
block return out proto tcp from any to 2400:5280:1003:9::2
block return out proto udp from any to 2400:5280:1003:9::2
block return out proto tcp from any to 2400:5280:1003:9::3
block return out proto udp from any to 2400:5280:1003:9::3
